text,intent,label
is it upright for pregnant women to eat tomatoes? are tomatoes good for fetal intellectual development?,ask more,1
"sneezing, runny nose and tears, headache, breastfeeding, what medicine can i have?",applicable disease,0
"checks 12 thin blood vessels, pulse 60-65 blood press 85--65",definition,3
what symptoms should i look out for in the novel coronavirus pandemic?,symptoms,6
what are the conditions for taking calcium gluconate? what indications belong to calcium gluconate?,applicable disease,0
"hello, how is the effect of vergu glucosamine hydrochloride capsules for joint pain?",applicable disease,0
"i'm taking olanzapine tablets, can i drink red appointment and wolfberry tea? is there any medicine.",ask more,1
"excuse me, what's the matter with a bag the size of a soy bean?",disease manifestations,4
"excuse me, is it a menopause if my point is delays by 6 days?",definition,3
how to treat urinary tract transmission?,treatment,7
"hello, i want to ask, the sprained foot is a little swollen, what kind of medicine is better to use, can yunnan baiyao spray work?",applicable disease,0
what medicine should i take for urinary tract infection to take effect quickly?,treatment,7
energy breast cancer have to be expunged? how to remedy it?,method,5
"recent anxiety, insomnia and headache, can i buy xanax?",applicable disease,0
embody one bottle of this lecithin complexed iodine pills a course of treatment? how many bottles are need for the course of processing? i do not realise. the doctor can assure me about it,usage,9
"how to treat neck and shoulder hemangioma?, one year ago, enlarged lymph nodes were seen in the upper part of the left carotid sheath. no treatment. thinking of your hospital's treatment, i don't know if it can be cured. inner mongolia baby grows are hemangiomas dangerous?",method,5
"i am not sure if this is condyloma acuminatum, my boyfriend told yes, how much will the discourse cost",disease manifestations,4
i would like to know what is a better drug to replace this valsartan capsule (yifang)?,treatment,7
what's wrong with the dark immature baby's stool,cause,2
"howdy, i've a fracture under the fibula, can i do it without a beplaster? the physician aver the alignment is sanction",method,5
what is the cause of intracranial hematoma,cause,2
"i am 44 years honest-to-god. recently, i have been sneezing, wheezing, coughing, and sometimes breathing difficulties. i decease to the hospital for examination. the doc said it was allergic asthma. allergic how to treat asthma is",method,5
how to pathfinder patients with angina pectoris to use nitroglycerin,definition,3
"have been suffering from internal hemorrhoids for iii years, sometimes the stool will bleed with excessive forcefulness, and there will also be bleeding after wiping the paper with ram. it is diagnosed that the internal hemorrhoid has cracks and run. how should i treat it?",treatment method,8
2 month baby diarrhea,disease manifestations,4
"the pathology report i contract today is now waiting for the treatment plan of hanzhong central hospital, please give good advice!",method,5
what's the matter with back pain after pose for a lange time,symptoms,6
cost it normal to measure anus 38.5 for a child,definition,3
"allo, the instruction manual for devi-clodronate disodium capsules is missing. i want to bed how to ingest it?",usage,9
what's wrong with spinal harming,definition,3
"my finger was caught by the door. when the school classmates were making trouble, the skin was broken, and the joints bend purple when they happened. after a few hours, they turned bolshie and mildly purple. whereof can i habituate to forthwith swelling, it'll heal in a few jours, can it got sozzled?",disease manifestations,4
what should be paid attention to in daily aliveness of tussah pupa encephalopathy,method,5
"i am leaving to buys ziprasidone hydrochloride tablet for schizophrenia in a few day, but what is this drug scream? quel about overdose?",usage,9
"diabetes for how myriad years, two can't see clearly recently",disease manifestations,4
"the flatulence seems to be not enough to eat and can't eat. it's good these days, what should i eat more?",treatment,7
": is yishenjiangu tablet effective in treating lumbar disc herniation? i'm not very solve, i want to know.",applicable disease,0
what are the symptoms of hypertensive kidney damage,definition,3
i have been addicted to smoking for more than ten years. can i take bupropion hydrochloride sustained-release tablets to quit?,applicable disease,0
"baby has been twitching recently, can't sleep well, can't drink milk, how should i choose calcium gluconate oral solution?",usage,9
what acupoints to knead for angina pectoris,treatment method,8
does fishes fukang capsules have any remedy effect on angina pectoris?? what is its usage and dosage?,usage,9
what disease is citalopram hydrobromide mainly secondhand for?,applicable disease,0
when is the shelf life of zhenmu shengu capsule? what injure will it crusade if it expires?,usage,9
