text,intent,label
Is it upright for pregnant women to eat tomatoes? Are tomatoes good for fetal intellectual development?,ask more,1
"Sneezing, runny nose and tears, headache, breastfeeding, what medicine can I have?",applicable disease,0
"Checks 12 thin blood vessels, pulse 60-65 blood press 85--65",definition,3
what symptoms should i look out for in the novel coronavirus pandemic?,symptoms,6
What are the conditions for taking calcium gluconate? What indications belong to calcium gluconate?,applicable disease,0
"Hello, how is the effect of Vergu Glucosamine Hydrochloride Capsules for joint pain?",applicable disease,0
"I'm taking olanzapine tablets, can I drink red appointment and wolfberry tea? Is there any medicine.",ask more,1
"Excuse me, what's the matter with a bag the size of a soy bean?",disease manifestations,4
"Excuse me, is it a menopause if my point is delays by 6 days?",definition,3
How to treat urinary tract transmission?,treatment,7
"Hello, I want to ask, the sprained foot is a little swollen, what kind of medicine is better to use, can Yunnan Baiyao spray work?",applicable disease,0
What medicine should I take for urinary tract infection to take effect quickly?,treatment,7
Energy breast cancer have to be expunged? How to remedy it?,method,5
"Recent anxiety, insomnia and headache, can I buy Xanax?",applicable disease,0
embody one bottle of this lecithin complexed iodine pills a course of treatment? How many bottles are need for the course of processing? I do not realise. The doctor can assure me about it,usage,9
"How to treat neck and shoulder hemangioma?, One year ago, enlarged lymph nodes were seen in the upper part of the left carotid sheath. No treatment. Thinking of your hospital's treatment, I don't know if it can be cured. Inner Mongolia baby grows Are hemangiomas dangerous?",method,5
"I am not sure if this is condyloma acuminatum, my boyfriend told yes, how much will the discourse cost",disease manifestations,4
I would like to know what is a better drug to replace this valsartan capsule (Yifang)?,treatment,7
What's wrong with the dark immature baby's stool,cause,2
"howdy, I've a fracture under the fibula, can I do it without a beplaster? The physician aver the alignment is sanction",method,5
What is the cause of intracranial hematoma,cause,2
"I am 44 years honest-to-god. Recently, I have been sneezing, wheezing, coughing, and sometimes breathing difficulties. I decease to the hospital for examination. The doc said it was allergic asthma. allergic How to treat asthma is",method,5
How to pathfinder patients with angina pectoris to use nitroglycerin,definition,3
"Have been suffering from internal hemorrhoids for III years, sometimes the stool will bleed with excessive forcefulness, and there will also be bleeding after wiping the paper with ram. It is diagnosed that the internal hemorrhoid has cracks and run. How should I treat it?",treatment method,8
2 month baby diarrhea,disease manifestations,4
"The pathology report I contract today is now waiting for the treatment plan of Hanzhong Central Hospital, please give good advice!",method,5
What's the matter with back pain after pose for a lange time,symptoms,6
cost it normal to measure anus 38.5 for a child,definition,3
"Allo, the instruction manual for Devi-Clodronate Disodium Capsules is missing. I want to bed how to ingest it?",usage,9
What's wrong with spinal harming,definition,3
"My finger was caught by the door. When the school classmates were making trouble, the skin was broken, and the joints bend purple when they happened. after a few hours, they turned bolshie and mildly purple. Whereof can I habituate to forthwith Swelling, it'll heal in a few jours, can it got sozzled?",disease manifestations,4
What should be paid attention to in daily aliveness of tussah pupa encephalopathy,method,5
"I am leaving to buys ziprasidone hydrochloride tablet for schizophrenia in a few Day, but what is this drug scream? Quel about overdose?",usage,9
"Diabetes for how myriad years, two can't see clearly recently",disease manifestations,4
"The flatulence seems to be not enough to eat and can't eat. It's good these days, what should I eat more?",treatment,7
": Is Yishenjiangu Tablet effective in treating lumbar disc herniation? I'm not very solve, I want to know.",applicable disease,0
What are the symptoms of hypertensive kidney damage,definition,3
I have been addicted to smoking for more than ten years. Can I take bupropion hydrochloride sustained-release tablets to quit?,applicable disease,0
"Baby has been twitching recently, can't sleep well, can't drink milk, how should I choose calcium gluconate oral solution?",usage,9
What acupoints to knead for angina pectoris,treatment method,8
Does Fishes Fukang Capsules have any remedy effect on angina pectoris?? What is its usage and dosage?,usage,9
