text,intent
"how-do-you-do, can Qianggu Capsule be used to treat bone atrophy caused by kidney yang deficiency?",applicable disease
"Breelyn, ask the doctor to fulfilling minimally invasive surgery for lumbar disc hernia?",method
"My girlfriend's situation is very similar to condyloma acuminatum, and she thinks so too, but I don't know if it is. Excuse me, what are the symptoms of condyloma acuminatum in women? What kind of help do I want: women's condyloma acuminatum What are the symptoms of condyloma",ask more
represent the poorly differentiated stage of colon tumor advanced?,definition
Can anemia cause high blood pressure?,cause
"After taking the multivitamin (ladies) meeting, the menstrual delay has caused endocrine disorders.",definition
"My child has a hemangioma on the sole of the foot, but the growth is controlled temporarily, but it does not improve. Now it is bigger than before, what should I do? Urgently, what to do with the hemangioma growing on the sole of the infant in Inner Mongolia?",treatment
hi. this covid-19 outbreak is scary. i got screened this week and it was negative. but prior to screening i had a week of continuous dry coughs and also throat was sore. i've put myself in a quarantine. what next? do i still need to screen again?,method
What should pregnant women eat for constipation,treatment
What medicine is used for external hemorrhoids,usage
What is right sum dysplasia syndrome,definition
"Hello, I would like to ask, I have high blood pressure now. Can I take Wenxin Granules? Will there be any adverse reactions?",applicable disease
"I often feel chest tightness recently, ask the mend how to treat it better.",treatment method
How can I increase blood pressure?,method
Sudden sudden pain! What should I do?,treatment method
"The child does not absorb it, eats a meal and pulls a meal, and has a lot of bowel movements",disease manifestations
"Hello, may I ask, where can I bargain Pemale Sertraline Hydrochloride Tablets in Shanghai? Thank you.",ask more
What medicine can be used for external hemorrhoids caused by cypress lotion when treating cervix?,treatment
"Hello, repair, may I ask if there's plaque in the carotid artery, can Lipitor remove the plaques?",method
"If you want to know if you want to treat schizophrenia, should you submit chlorpromazine and trihexy valproate sodium?",applicable disease
"Baby has high fever and convulsions, what should I do? My baby is only one and a half years old and has had three high temperature seizures.",treatment method
"Severe anemia, low platelet, pulmonary embolism, good heart failure,",symptoms
I want to ask about the unspoilt medicine for non-gonococcal urethritis?,treatment method
What to do with patients with cerebral infarction?,method
Is it better to use CT or MR to diagnose nasopharyngeal cancer,method
associated with phlegm and mucus?,symptoms
